Picture_ID,Actual_Wall_Volume_cuft,Predicted_Wall_Volume_cuft,Abs_Error_cuft,Brick_Ratio,Plaster_In_Ratio,Plaster_Out_Ratio,RCC_Ratio,Brick_Volume_cuft,Cement_Volume_cuft_Brickwork,Sand_Volume_cuft_Brickwork,Cement_Bags_Brickwork,Cement_Volume_cuft_Plaster_In,Sand_Volume_cuft_Plaster_In,Cement_Bags_Plaster_In,Cement_Volume_cuft_Plaster_Out,Sand_Volume_cuft_Plaster_Out,Cement_Bags_Plaster_Out,Cement_Volume_cuft_RCC,Sand_Volume_cuft_RCC,Aggregate_Volume_cuft_RCC,Cement_Bags_RCC,Total_Cement_Volume_cuft,Total_Sand_Volume_cuft,Total_Cement_Bags
114001.jpg,578.25,514.8720493761425,63.37795062385749,1:6,1:6,1:6,1:1:2,386.154,24.456,146.739,19.56,5.439,32.635,4.35,8.152,48.913,6.52,8.56,8.56,17.119,6.85,46.607,236.847,37.29
114002.jpg,669.0,637.2714888821399,31.72851111786008,1:3,1:3,1:6,1:2:4,477.954,52.973,158.92,42.38,11.781,35.344,9.42,10.09,60.541,8.07,6.054,12.108,24.216,4.84,80.898,266.913,64.72
114003.jpg,699.0,671.5386754256754,27.461324574324635,1:4,1:6,1:4,1:1:2,503.654,44.657,178.629,35.73,7.094,42.565,5.68,14.886,59.543,11.91,11.164,11.164,22.329,8.93,77.801,291.901,62.24
114004.jpg,591.0,589.7841414449576,1.2158585550423595,1:3,1:5,1:6,1:1:2,442.338,49.026,147.077,39.22,7.269,36.344,5.82,9.338,56.029,7.47,9.805,9.805,19.61,7.84,75.438,249.255,60.35
114005.jpg,699.0,664.7129318275835,34.287068172416525,1:6,1:3,1:4,1:1:2,498.535,31.574,189.443,25.26,12.289,36.866,9.83,14.734,58.938,11.79,11.051,11.051,22.102,8.84,69.648,296.298,55.72
114006.jpg,683.25,634.0698842358366,49.18011576416336,1:4,1:4,1:4,1:1.5:3,475.552,42.166,168.663,33.73,9.378,37.511,7.5,14.055,56.221,11.24,7.666,11.5,22.999,6.13,73.265,273.895,58.61
114007.jpg,592.5000000000001,584.8886624379165,7.611337562083577,1:6,1:4,1:6,1:1.5:3,438.666,27.782,166.693,22.23,8.65,34.601,6.92,9.261,55.564,7.41,7.072,10.608,21.216,5.66,52.765,267.466,42.21
114008.jpg,571.05,570.7762326542864,0.2737673457135088,1:3,1:5,1:5,1:1.5:3,428.082,47.446,142.337,37.96,7.035,35.173,5.63,10.544,52.718,8.44,6.901,10.352,20.704,5.52,71.926,240.58,57.54
114009.jpg,458.25,497.44942190154273,39.199421901542735,1:6,1:3,1:4,1:1.5:3,373.087,23.629,141.773,18.9,9.196,27.589,7.36,11.027,44.107,8.82,6.015,9.022,18.044,4.81,49.867,222.491,39.89
114010.jpg,650.25,625.6098444781587,24.64015552184128,1:4,1:5,1:6,1:1.5:3,469.207,41.603,166.412,33.28,7.71,38.552,6.17,9.905,59.433,7.92,7.564,11.346,22.693,6.05,66.782,275.743,53.43
114011.jpg,636.75,620.554726998851,16.195273001148962,1:3,1:3,1:5,1:1:2,465.416,51.584,154.751,41.27,11.472,34.417,9.18,11.463,57.315,9.17,10.317,10.317,20.633,8.25,84.836,256.8,67.87
114012.jpg,686.2499999999999,627.9956943709831,58.25430562901681,1:8,1:4,1:4,1:1:2,470.997,23.201,185.608,18.56,9.288,37.151,7.43,13.921,55.682,11.14,10.44,10.44,20.881,8.35,56.85,288.881,45.48
114013.jpg,600.0000000000001,592.4978226578253,7.502177342174832,1:3,1:5,1:6,1:1.5:3,444.373,49.251,147.754,39.4,7.302,36.512,5.84,9.381,56.287,7.5,7.164,10.746,21.492,5.73,73.098,251.299,58.48
114014.jpg,705.75,649.0299748654406,56.72002513455936,1:4,1:6,1:3,1:1:2,486.772,43.16,172.642,34.53,6.856,41.138,5.48,17.984,53.951,14.39,10.79,10.79,21.58,8.63,78.79,278.521,63.03
