Picture_ID,Plot_Length_ft,Plot_Width_ft,Plot_Area_sft,Builtup_Area_sft,Total_Doors,Total_Windows,Brick_Ratio,Plaster_In_Ratio,Plaster_Out_Ratio,RCC_Ratio,Room_Height_ft,No_of_Bedrooms,No_of_Toilets,Kitchen_Size_sft,Hall_Size_sft,Parking,Wall_Volume_cuft,Predicted_Wall_Volume
114001.jpg,33.0,16.5,545.0,545,4,3,3.5,3.5,3.5,1.3333333333333333,9.0,1,1,61.0,124.0,0.0,578.25,575.1788197774695
114002.jpg,30.0,20.0,600.0,540,4,2,2.0,2.0,3.5,2.3333333333333335,10.0,1,1,78.0,169.0,0.0,669.0,666.0647391777198
114003.jpg,28.0,24.0,672.0,620,4,2,2.5,3.5,2.5,1.3333333333333333,10.0,1,1,90.0,169.0,0.0,699.0,688.4886304494405
114004.jpg,26.0,20.0,520.0,480,4,4,2.0,3.0,3.5,1.3333333333333333,10.0,1,1,65.0,163.0,0.0,591.0,585.048948968934
114005.jpg,30.0,22.0,660.0,600,4,2,3.5,2.0,2.5,1.3333333333333333,10.0,1,1,90.0,130.0,0.0,699.0,697.5161752551455
114006.jpg,28.0,24.0,672.0,620,5,2,2.5,2.5,2.5,1.8333333333333333,10.0,1,1,70.0,169.0,0.0,683.25,673.9591856606854
114007.jpg,26.25,19.7,516.0,480,5,2,3.5,2.5,3.5,1.8333333333333333,10.0,2,1,87.0,120.0,0.0,592.5000000000001,583.5708133663193
114008.jpg,23.62,21.65,512.0,480,4,5,2.0,3.0,3.0,1.8333333333333333,10.0,2,1,46.0,103.0,0.0,571.05,562.5794127592026
114009.jpg,19.7,19.7,388.0,360,5,6,3.5,2.0,2.5,1.8333333333333333,10.0,2,1,48.0,92.0,0.0,458.25,451.6753041797871
114010.jpg,29.5,21.65,639.0,600,4,6,2.5,3.0,3.5,1.8333333333333333,10.0,2,1,85.0,192.0,0.0,650.25,643.489753008263
114011.jpg,32.8,16.4,538.0,500,3,6,2.0,2.0,3.0,1.3333333333333333,10.0,2,1,75.0,160.0,0.0,636.75,639.0527647663946
114012.jpg,32.15,21.4,688.0,640,4,6,4.5,2.5,2.5,1.3333333333333333,10.0,2,1,80.0,175.0,0.0,686.2499999999999,682.3483817959278
114013.jpg,26.9,20.3,545.0,500,4,5,2.0,3.0,3.5,1.8333333333333333,10.0,2,1,85.0,130.0,0.0,600.0000000000001,594.7434758409053
114014.jpg,23.6,29.0,684.0,630,3,4,2.5,3.5,2.0,1.3333333333333333,10.0,2,1,90.0,220.0,0.3380281690140845,705.75,694.2696169334989
114015.jpg,32.5,21.2,689.0,640,3,5,2.0,3.5,2.5,2.3333333333333335,10.0,2,1,90.0,230.0,0.0,713.2500000000001,707.8453460617208
114016.jpg,27.8,23.0,639.0,600,5,5,2.0,3.5,3.0,1.8333333333333333,10.0,2,1,80.0,210.0,0.0,638.2499999999999,631.6310447391597
114017.jpg,39.7,23.0,913.0,850,4,6,2.5,3.0,2.0,2.3333333333333335,10.0,2,1,95.0,230.0,0.3380281690140845,823.5000000000001,822.5240350314208
114018.jpg,30.2,31.2,942.0,880,3,6,2.0,3.5,2.5,1.3333333333333333,10.0,2,1,90.0,205.0,0.3380281690140845,819.75,807.761857493927
114019.jpg,26.25,19.7,516.0,480,5,2,2.0,2.0,2.0,1.3333333333333333,10.0,2,1,87.0,120.0,0.3380281690140845,592.5000000000001,589.9616231348282
